,Position,Driver,Car,Time / Gap
11,1,Alain Prost,McLaren Honda,1:44.620
12,2,Ayrton Senna,McLaren Honda,+0.228s
27,3,Michele Alboreto,Ferrari,+1.086s
5,4,Nigel Mansell,Williams Judd,+1.183s
15,5,Mauricio Gugelmin,March Judd,+1.532s
2,6,Satoru Nakajima,Lotus Honda,+1.912s
28,7,Gerhard Berger,Ferrari,+1.933s
6,8,Riccardo Patrese,Williams Judd,+2.355s
20,9,Thierry Boutsen,Benetton Ford,+2.529s
19,10,Alessandro Nannini,Benetton Ford,+2.560s
16,11,Ivan Capelli,March Judd,+2.580s
18,12,Eddie  Cheever,Arrows Megatron,+3.074s
30,13,Philippe Alliot,Lola Ford,+3.147s
17,14,Derek Warwick,Arrows Megatron,+3.177s
1,15,Nelson Piquet,Lotus Honda,+3.927s
22,16,Andrea de Cesaris,Rial Ford,+4.227s
36,17,Alex Caffi,Dallara Ford,+4.479s
14,18,Philippe Streiff,AGS Ford,+4.905s
23,19,Pierluigi Martini,Minardi Ford,+4.967s
9,20,Piercarlo Ghinzani,Zakspeed,+5.369s
29,21,Aguri Suzuki,Lola Ford,+5.661s
21,22,Nicola Larini,Osella,+5.668s
24,23,Luis Perez-Sala,Minardi Ford,+5.944s
3,24,Jonathan  Palmer,Tyrrell Ford,+6.242s
32,25,Oscar Larrauri,Euro Brun Ford,+6.322s
10,26,Bernd Schneider,Zakspeed,+6.477s
33,27,Stefano Modena,Euro Brun Ford,+6.521s
4,28,Julian Bailey,Tyrrell Ford,+6.576s
26,29,Stefan Johansson,Ligier Judd,+6.916s
25,30,Rene Arnoux,Ligier Judd,+6.980s
31,31,Gabriele Tarquini,Coloni Ford,+7.614s
