,Position,Driver,Car,Time
15,1,Alain Prost,Renault,1:16.356
16,2,Rene Arnoux,Renault,1:16.786
3,3,Michele Alboreto,Tyrrell Ford,1:17.646
25,4,Eddie  Cheever,Ligier Matra,1:17.683
2,5,Riccardo Patrese,Brabham Ford,1:17.772
6,6,Keke Rosberg,Williams Ford,1:17.886
28,7,Mario Andretti,Ferrari,1:17.921
27,8,Patrick Tambay,Ferrari,1:17.958
7,9,John Watson,McLaren Ford,1:17.986
35,10,Derek Warwick,Toleman Hart,1:18.012
26,11,Jacques Laffite,Ligier Matra,1:18.056
1,12,Nelson Piquet,Brabham Ford,1:18.275
8,13,Niki Lauda,McLaren Ford,1:18.333
5,14,Derek Daly,Williams Ford,1:18.418
14,15,Roberto Guerrero,Ensign Ford,1:18.496
23,16,Bruno Giacomelli,Alfa Romeo,1:18.622
29,17,Marc Surer,Arrows Ford,1:18.734
22,18,Andrea de Cesaris,Alfa Romeo,1:18.761
4,19,Brian Henton,Tyrrell Ford,1:18.765
11,20,Elio de Angelis,Lotus Ford,1:19.302
12,21,Nigel Mansell,Lotus Ford,1:19.439
9,22,Manfred Winkelhock,ATS Ford,1:19.767
30,23,Mauro Baldi,Arrows Ford,1:20.271
18,24,Raul Boesel,March Ford,1:20.766
17,25,Rupert Keegan,March Ford,1:21.180
33,26,Tommy Byrne,Theodore Ford,1:21.555
