,Position,Driver,Car,Lap,Time
6,1,Jacques Villeneuve,Williams Renault,34,1:44.043
4,2,Gerhard Berger,Benetton Renault,24,1:44.350
1,3,Michael Schumacher,Ferrari,18,1:44.445
5,4,Damon Hill,Williams Renault,30,1:44.753
7,5,Mika Hakkinen,McLaren Mercedes,35,1:44.852
9,6,Olivier Panis,Ligier Mugen Honda,19,1:45.347
8,7,David Coulthard,McLaren Mercedes,38,1:45.613
2,8,Eddie Irvine,Ferrari,20,1:45.798
12,9,Martin Brundle,Jordan Peugeot,37,1:45.882
14,10,Johnny Herbert,Sauber Ford,19,1:45.932
11,11,Rubens Barrichello,Jordan Peugeot,16,1:46.339
15,12,Heinz-Harald Frentzen,Sauber Ford,31,1:46.407
17,13,Jos Verstappen,Footwork Hart,31,1:46.977
18,14,Ukyo Katayama,Tyrrell Yamaha,29,1:47.518
10,15,Pedro Diniz,Ligier Mugen Honda,5,1:48.495
20,16,Pedro Lamy,Minardi Ford,18,1:49.220
16,17,Ricardo Rosset,Footwork Hart,35,1:49.263
19,18,Mika Salo,Tyrrell Yamaha,18,1:49.372
