,Position,Driver,Car,Time
7,1,John Surtees,Cooper Maserati,1:53.180
1,2,Jim Clark,Lotus Climax,1:53.500
12,3,Richie Ginther,Honda,1:53.560
5,4,Jack Brabham,Brabham Climax,1:53.950
8,5,Jochen Rindt,Cooper Maserati,1:54.190
6,6,Denny Hulme,Brabham Climax,1:54.210
3,7,Graham Hill,BRM,1:54.610
11,8,Pedro Rodriguez,Lotus Climax,1:54.780
15,9,Dan Gurney,Eagle Climax,1:54.930
4,10,Jackie Stewart,BRM,1:55.900
19,11,Jo Siffert,Cooper Maserati,1:55.990
22,12,Jo Bonnier,Brabham Climax,1:56.490
14,13,Ronnie Bucknum,Honda,1:56.590
17,14,Bruce McLaren,McLaren Serenissima,1:56.840
9,15,Moises Solana,Cooper Maserati,1:57.440
10,16,Innes Ireland,BRM,1:57.460
2,17,Peter  Arundell ,Lotus Climax,2:00.790
16,18,Bob Bondurant,Eagle Climax,2:02.880
