,Position,Driver,Car,Time
11,1,Carlos Reutemann,Ferrari,1:20.636
12,2,Gilles Villeneuve,Ferrari,1:20.836
1,3,Niki Lauda,Brabham Alfa Romeo,1:20.937
5,4,Mario Andretti,Lotus Ford,1:21.188
2,5,John Watson,Brabham Alfa Romeo,1:21.244
6,6,Ronnie Peterson,Lotus Ford,1:21.474
7,7,James Hunt,McLaren Ford,1:21.738
27,8,Alan  Jones,Williams Ford,1:21.935
35,9,Riccardo Patrese,Arrows Ford,1:22.006
20,10,Jody Scheckter,Wolf Ford,1:22.163
8,11,Patrick Tambay,McLaren Ford,1:22.234
4,12,Patrick Depailler,Tyrrell Ford,1:22.414
15,13,Jean-Pierre Jabouille,Renault,1:22.491
26,14,Jacques Laffite,Ligier Matra,1:22.630
14,15,Emerson Fittipaldi,Fittipaldi Ford,1:22.790
9,16,Jochen Mass,ATS Ford,1:23.106
19,17,Vittorio Brambilla,Surtees Ford,1:23.212
36,18,Rolf Stommelen,Arrows Ford,1:23.291
10,19,Jean-Pierre Jarier,ATS Ford,1:23.419
17,20,Clay Regazzoni,Shadow Ford,1:23.454
37,21,Arturo Merzario,Merzario Ford,1:23.589
3,22,Didier Pironi,Tyrrell Ford,1:23.792
