,Position,Points
McLaren,1,833
Mercedes,2,469
Red Bull Racing,3,451
Ferrari,4,398
Williams,5,137
Racing Bulls,6,92
Aston Martin,7,89
Haas F1 Team,8,79
Kick Sauber,9,70
Alpine,10,22
