,Position,Driver,Car,Lap,Time
2,1,Alain Prost,McLaren Honda,43,1:43.506
28,2,Gerhard Berger,Ferrari,26,1:44.189
19,3,Alessandro Nannini,Benetton Ford,28,1:44.919
20,4,Emanuele Pirro,Benetton Ford,25,1:45.049
27,5,Nigel Mansell,Ferrari,32,1:45.077
5,6,Thierry Boutsen,Williams Renault,37,1:45.115
6,7,Riccardo Patrese,Williams Renault,26,1:45.335
30,8,Philippe Alliot,Lola Lamborghini,25,1:45.353
7,9,Martin Brundle,Brabham Judd,46,1:46.194
22,10,Andrea de Cesaris,Dallara Ford,35,1:46.225
11,11,Nelson Piquet,Lotus Judd,33,1:46.420
4,12,Jean Alesi,Tyrrell Ford,34,1:46.674
9,13,Derek Warwick,Arrows Ford,32,1:47.069
12,14,Satoru Nakajima,Lotus Judd,30,1:47.338
16,15,Ivan Capelli,March Judd,25,1:47.465
10,16,Eddie  Cheever,Arrows Ford,27,1:47.920
15,17,Mauricio Gugelmin,March Judd,43,1:47.976
26,18,Olivier Grouillard,Ligier Ford,22,1:48.145
8,19,Stefano Modena,Brabham Judd,31,1:48.609
21,20,Alex Caffi,Dallara Ford,29,1:49.322
17,21,Nicola Larini,Osella Ford,19,1:49.479
3,22,Jonathan  Palmer,Tyrrell Ford,4,1:49.910
34,23,Bernd Schneider,Zakspeed Yamaha,1,2:11.970
