,Position,Driver,Car,Time / Gap
1,1,Ayrton Senna,McLaren Honda,1:40.902
2,2,Alain Prost,McLaren Honda,+0.919s
19,3,Alessandro Nannini,Benetton Ford,+0.978s
28,4,Gerhard Berger,Ferrari,+1.314s
27,5,Nigel Mansell,Ferrari,+1.546s
20,6,Emanuele Pirro,Benetton Ford,+2.199s
24,7,Luis Perez-Sala,Minardi Ford,+2.266s
30,8,Philippe Alliot,Lola Lamborghini,+2.675s
22,9,Andrea de Cesaris,Dallara Ford,+2.843s
21,10,Alex Caffi,Dallara Ford,+2.951s
7,11,Martin Brundle,Brabham Judd,+3.320s
8,12,Stefano Modena,Brabham Judd,+3.513s
29,13,Michele Alboreto,Lola Lamborghini,+3.542s
4,14,Jean Alesi,Tyrrell Ford,+3.633s
12,15,Satoru Nakajima,Lotus Judd,+3.660s
9,16,Derek Warwick,Arrows Ford,+3.893s
5,17,Thierry Boutsen,Williams Renault,+3.912s
15,18,Mauricio Gugelmin,March Judd,+4.007s
16,19,Ivan Capelli,March Judd,+4.080s
17,20,Nicola Larini,Osella Ford,+4.156s
25,21,Rene Arnoux,Ligier Ford,+4.430s
11,22,Nelson Piquet,Lotus Judd,+4.870s
3,23,Jonathan  Palmer,Tyrrell Ford,+4.881s
6,24,Riccardo Patrese,Williams Renault,+5.038s
10,25,Eddie  Cheever,Arrows Ford,+5.234s
26,26,Olivier Grouillard,Ligier Ford,+5.627s
34,27,Bernd Schneider,Zakspeed Yamaha,+5.931s
23,28,Paolo Barilla,Minardi Ford,+7.607s
39,29,Bertrand Gachot,Rial Ford,+12.970s
38,30,Pierre Henri Raphanel,Rial Ford,+99.733s
