,Position,Driver,Car,Time / Gap
1,1,Ayrton Senna,McLaren Honda,1:40.288
2,2,Alain Prost,McLaren Honda,+1.102s
28,3,Gerhard Berger,Ferrari,+1.197s
4,4,Jean Alesi,Tyrrell Ford,+1.735s
27,5,Nigel Mansell,Ferrari,+2.002s
8,6,Stefano Modena,Brabham Judd,+2.069s
30,7,Philippe Alliot,Lola Lamborghini,+2.158s
7,8,Martin Brundle,Brabham Judd,+2.178s
6,9,Riccardo Patrese,Williams Renault,+2.287s
19,10,Alessandro Nannini,Benetton Ford,+2.455s
17,11,Nicola Larini,Osella Ford,+2.577s
11,12,Nelson Piquet,Lotus Judd,+2.595s
23,13,Paolo Barilla,Minardi Ford,+2.912s
5,14,Thierry Boutsen,Williams Renault,+2.989s
26,15,Olivier Grouillard,Ligier Ford,+3.117s
21,16,Alex Caffi,Dallara Ford,+3.124s
12,17,Satoru Nakajima,Lotus Judd,+3.329s
22,18,Andrea de Cesaris,Dallara Ford,+3.395s
3,19,Jonathan  Palmer,Tyrrell Ford,+3.472s
24,20,Luis Perez-Sala,Minardi Ford,+3.528s
10,21,Eddie  Cheever,Arrows Ford,+3.786s
20,22,Emanuele Pirro,Benetton Ford,+4.077s
9,23,Derek Warwick,Arrows Ford,+4.239s
25,24,Rene Arnoux,Ligier Ford,+4.661s
16,25,Ivan Capelli,March Judd,+4.978s
34,26,Bernd Schneider,Zakspeed Yamaha,+5.383s
15,27,Mauricio Gugelmin,March Judd,+5.590s
29,28,Michele Alboreto,Lola Lamborghini,+6.154s
38,29,Pierre Henri Raphanel,Rial Ford,+7.596s
39,30,Bertrand Gachot,Rial Ford,+8.019s
