,Position,Driver,Car,Time / Gap
2,1,Alain Prost,Williams Renault,1:16.204
5,2,Michael Schumacher,Benetton Ford,+1.056s
6,3,Riccardo Patrese,Benetton Ford,+1.463s
0,4,Damon Hill,Williams Renault,+1.483s
8,5,Ayrton Senna,McLaren Ford,+1.999s
29,6,Karl Wendlinger,Sauber,+2.850s
26,7,Mark Blundell,Ligier Renault,+3.109s
10,8,Aguri Suzuki,Footwork Mugen Honda,+3.297s
24,9,Pierluigi Martini,Minardi Ford,+3.752s
28,10,Gerhard Berger,Ferrari,+3.781s
25,11,Martin Brundle,Ligier Renault,+4.004s
7,12,Michael Andretti,McLaren Ford,+4.045s
23,13,Christian Fittipaldi,Minardi Ford,+4.205s
14,14,Rubens Barrichello,Jordan Hart,+4.706s
27,15,Jean Alesi,Ferrari,+4.791s
9,16,Derek Warwick,Footwork Mugen Honda,+5.056s
11,17,Alessandro Zanardi,Lotus Ford,+5.162s
30,18,Jyrki Jarvilehto,Sauber,+5.218s
15,19,Thierry Boutsen,Jordan Hart,+5.686s
19,20,Philippe Alliot,Larrousse Lamborghini,+5.813s
20,21,Erik Comas,Larrousse Lamborghini,+6.090s
21,22,Michele Alboreto,Lola Ferrari,+6.151s
3,23,Ukyo Katayama,Tyrrell Yamaha,+6.359s
4,24,Andrea de Cesaris,Tyrrell Yamaha,+6.591s
12,25,Johnny Herbert,Lotus Ford,+9.185s
22,26,Luca Badoer,Lola Ferrari,+10.397s
