,Position,Driver,Car,Lap,Time
2,1,Alain Prost,Williams Renault,52,1:19.633
0,2,Damon Hill,Williams Renault,54,1:20.441
25,3,Martin Brundle,Ligier Renault,69,1:20.702
28,4,Gerhard Berger,Ferrari,71,1:20.917
6,5,Riccardo Patrese,Benetton Ford,32,1:21.101
24,6,Pierluigi Martini,Minardi Ford,59,1:21.939
5,7,Michael Schumacher,Benetton Ford,20,1:22.031
26,8,Mark Blundell,Ligier Renault,50,1:22.275
20,9,Erik Comas,Larrousse Lamborghini,51,1:22.628
29,10,Karl Wendlinger,Sauber,59,1:22.745
15,11,Thierry Boutsen,Jordan Hart,53,1:22.754
19,12,Philippe Alliot,Larrousse Lamborghini,57,1:22.757
8,13,Ayrton Senna,McLaren Ford,3,1:22.838
9,14,Derek Warwick,Footwork Mugen Honda,42,1:23.202
4,15,Andrea de Cesaris,Tyrrell Yamaha,49,1:23.478
10,16,Aguri Suzuki,Footwork Mugen Honda,33,1:23.749
3,17,Ukyo Katayama,Tyrrell Yamaha,50,1:23.764
12,18,Johnny Herbert,Lotus Ford,34,1:23.800
11,19,Alessandro Zanardi,Lotus Ford,22,1:23.876
27,20,Jean Alesi,Ferrari,3,1:24.020
22,21,Luca Badoer,Lola Ferrari,29,1:24.568
7,22,Michael Andretti,McLaren Ford,9,1:24.667
23,23,Christian Fittipaldi,Minardi Ford,14,1:24.850
30,24,Jyrki Jarvilehto,Sauber,6,1:25.444
21,25,Michele Alboreto,Lola Ferrari,21,1:27.289
