,Position,Driver,Car,Time / Gap
2,1,Alain Prost,Williams Renault,1:15.959
0,2,Damon Hill,Williams Renault,+0.099s
5,3,Michael Schumacher,Benetton Ford,+0.251s
8,4,Ayrton Senna,McLaren Ford,+0.755s
6,5,Riccardo Patrese,Benetton Ford,+0.950s
28,6,Gerhard Berger,Ferrari,+0.990s
9,7,Derek Warwick,Footwork Mugen Honda,+2.259s
14,8,Rubens Barrichello,Jordan Hart,+2.483s
25,9,Martin Brundle,Ligier Renault,+2.492s
23,10,Christian Fittipaldi,Minardi Ford,+2.534s
7,11,Michael Andretti,McLaren Ford,+2.643s
26,12,Mark Blundell,Ligier Renault,+2.658s
24,13,Pierluigi Martini,Minardi Ford,+2.719s
10,14,Aguri Suzuki,Footwork Mugen Honda,+2.752s
12,15,Johnny Herbert,Lotus Ford,+2.807s
30,16,Jyrki Jarvilehto,Sauber,+3.140s
29,17,Karl Wendlinger,Sauber,+3.672s
4,18,Andrea de Cesaris,Tyrrell Yamaha,+3.782s
3,19,Ukyo Katayama,Tyrrell Yamaha,+3.803s
20,20,Erik Comas,Larrousse Lamborghini,+4.100s
19,21,Philippe Alliot,Larrousse Lamborghini,+4.962s
15,22,Thierry Boutsen,Jordan Hart,+5.001s
21,23,Michele Alboreto,Lola Ferrari,+5.787s
22,24,Luca Badoer,Lola Ferrari,+5.820s
27,25,Jean Alesi,Ferrari,+7.017s
11,26,Alessandro Zanardi,Lotus Ford,+11.898s
