,Position,Driver,Car,Time
2,1,Mark Webber,Red Bull Racing Renault,1:14.381
8,2,Nico Rosberg,Mercedes,1:14.448
4,3,Lewis Hamilton,McLaren Mercedes,1:14.583
10,4,Romain Grosjean,Lotus Renault,1:14.639
5,5,Fernando Alonso,Ferrari,1:14.948
7,6,Michael Schumacher,Mercedes,1:14.301
6,7,Felipe Massa,Ferrari,1:15.049
9,8,Kimi Räikkönen,Lotus Renault,1:15.199
1,9,Sebastian Vettel,Red Bull Racing Renault,
12,10,Nico Hulkenberg,Force India Mercedes,1:15.421
14,11,Kamui Kobayashi,Sauber Ferrari,1:15.508
3,12,Jenson Button,McLaren Mercedes,1:15.536
19,13,Bruno Senna,Williams Renault,1:15.709
11,14,Paul di Resta,Force India Mercedes,1:15.718
16,15,Daniel Ricciardo,STR Ferrari,1:15.878
17,16,Jean-Eric Vergne,STR Ferrari,1:16.885
20,17,Heikki Kovalainen,Caterham Renault,1:16.538
21,18,Vitaly Petrov,Caterham Renault,1:17.404
24,19,Timo Glock,Marussia Cosworth,1:17.947
22,20,Pedro de la Rosa,HRT Cosworth,1:18.096
25,21,Charles Pic,Marussia Cosworth,1:18.476
23,22,Narain Karthikeyan,HRT Cosworth,1:19.310
15,23,Sergio Perez,Sauber Ferrari,
18,24,Pastor Maldonado,Williams Renault,1:15.245
