,Position,Driver,Car,Time / Gap
2,1,Nigel Mansell,Ferrari,1:39.890
28,2,Gerhard Berger,McLaren Honda,+0.037s
19,3,Roberto Moreno,Benetton Ford,+0.092s
27,4,Ayrton Senna,McLaren Honda,+0.127s
1,5,Alain Prost,Ferrari,+0.415s
20,6,Nelson Piquet,Benetton Ford,+1.030s
5,7,Thierry Boutsen,Williams Renault,+1.625s
6,8,Riccardo Patrese,Williams Renault,+1.729s
29,9,Eric Bernard,Lola Lamborghini,+1.886s
11,10,Derek Warwick,Lotus Lamborghini,+2.051s
16,11,Ivan Capelli,Leyton House Judd,+2.482s
25,12,Nicola Larini,Ligier Ford,+2.503s
12,13,Johnny Herbert,Lotus Lamborghini,+2.624s
30,14,Aguri Suzuki,Lola Lamborghini,+3.225s
3,15,Satoru Nakajima,Tyrrell Ford,+3.306s
26,16,Philippe Alliot,Ligier Ford,+3.518s
15,17,Mauricio Gugelmin,Leyton House Judd,+3.674s
9,18,Michele Alboreto,Arrows Ford,+3.999s
10,19,Alex Caffi,Arrows Ford,+4.037s
8,20,Stefano Modena,Brabham Judd,+4.129s
24,21,Gianni Morbidelli,Minardi Ford,+4.486s
21,22,Emanuele Pirro,Dallara Ford,+4.551s
18,23,Yannick Dalmas,AGS Ford,+5.281s
14,24,Olivier Grouillard,Osella Ford,+5.574s
31,25,Bertrand Gachot,Coloni Ford,+6.817s
22,26,Andrea de Cesaris,Dallara Ford,+7.166s
7,27,David Brabham,Brabham Judd,+7.228s
23,28,Pierluigi Martini,Minardi Ford,+7.453s
17,29,Gabriele Tarquini,AGS Ford,+7.681s
