,Position,Driver,Car,Time
29,1,Eric Bernard,Lola Lamborghini,1:23.763
27,1,Ayrton Senna,McLaren Honda,1:17.277
28,2,Gerhard Berger,McLaren Honda,1:17.888
30,2,Aguri Suzuki,Lola Lamborghini,1:23.982
14,3,Olivier Grouillard,Osella Ford,1:23.987
5,3,Thierry Boutsen,Williams Renault,1:18.150
6,4,Riccardo Patrese,Williams Renault,1:18.288
18,4,Yannick Dalmas,AGS Ford,1:24.015
2,5,Nigel Mansell,Ferrari,1:18.509
17,5,Gabriele Tarquini,AGS Ford,1:24.265
1,6,Alain Prost,Ferrari,1:18.631
33,6,Roberto Moreno,Euro Brun Judd,1:25.763
4,7,Jean Alesi,Tyrrell Ford,1:18.923
31,7,Bertrand Gachot,Coloni Subaru,1:34.046
34,8,Claudio Langes,Euro Brun Judd,1:39.188
23,8,Pierluigi Martini,Minardi Ford,1:19.039
22,9,Andrea de Cesaris,Dallara Ford,1:19.125
26,10,Philippe Alliot,Ligier Ford,1:19.309
8,12,Stefano Modena,Brabham Judd,1:19.425
20,13,Nelson Piquet,Benetton Ford,1:19.629
12,14,Martin Donnelly,Lotus Lamborghini,1:20.032
19,15,Alessandro Nannini,Benetton Ford,1:20.055
21,16,Gianni Morbidelli,Dallara Ford,1:20.164
24,17,Paolo Barilla,Minardi Ford,1:20.282
3,19,Satoru Nakajima,Tyrrell Ford,1:20.568
25,20,Nicola Larini,Ligier Ford,1:20.650
7,22,Gregor Foitek,Brabham Judd,1:20.902
9,23,Michele Alboreto,Arrows Ford,1:20.920
11,24,Derek Warwick,Lotus Lamborghini,1:20.998
10,25,Alex Caffi,Arrows Ford,1:21.065
35,27,Stefan Johansson,Onyx Ford,1:21.241
36,28,Jyrki Jarvilehto,Onyx Ford,1:21.323
16,29,Ivan Capelli,Leyton House Judd,1:21.383
15,30,Mauricio Gugelmin,Leyton House Judd,1:21.616
