,Position,Driver,Car,Time
5,1,Fernando Alonso,Renault,3:01.902
1,2,Michael Schumacher,Ferrari,3:02.357
16,3,Jarno Trulli,Toyota,3:02.660
8,4,Nick Heidfeld,Williams BMW,3:03.217
7,5,Mark Webber,Williams BMW,3:03.262
17,6,Ralf Schumacher,Toyota,3:03.271
15,7,Christian Klien,RBR Cosworth,3:03.369
10,8,Pedro de la Rosa,McLaren Mercedes,3:03.373
9,9,Kimi Räikkönen,McLaren Mercedes,3:03.524
6,10,Giancarlo Fisichella,Renault,3:03.765
3,11,Jenson Button,BAR Honda,3:04.348
12,12,Felipe Massa,Sauber Petronas,3:05.202
4,13,Takuma Sato,BAR Honda,3:05.563
14,14,David Coulthard,RBR Cosworth,3:05.844
11,15,Jacques Villeneuve,Sauber Petronas,3:07.983
18,16,Tiago Monteiro,Jordan Toyota,3:09.428
19,17,Narain Karthikeyan,Jordan Toyota,3:10.143
21,18,Christijan Albers,Minardi Cosworth,3:10.422
20,19,Patrick Friesacher ,Minardi Cosworth,3:11.261
2,20,Rubens Barrichello,Ferrari,3:07.693
