,Position,Driver,Car,Lap,Time
0,1,Damon Hill,Williams Renault,24,1:25.930
27,2,Jean Alesi,Ferrari,8,1:26.279
28,3,Gerhard Berger,Ferrari,17,1:26.541
2,4,David Coulthard,Williams Renault,23,1:26.607
26,5,Olivier Panis,Ligier Renault,47,1:26.630
4,6,Mark Blundell,Tyrrell Yamaha,36,1:26.663
3,7,Ukyo Katayama,Tyrrell Yamaha,31,1:26.702
7,8,Mika Hakkinen,McLaren Peugeot,46,1:27.432
14,9,Rubens Barrichello,Jordan Hart,21,1:27.449
25,10,Eric Bernard,Ligier Renault,9,1:27.488
30,11,Heinz-Harald Frentzen,Sauber Mercedes,18,1:27.786
5,12,Jyrki Jarvilehto,Benetton Ford,13,1:28.072
9,13,Christian Fittipaldi,Footwork Ford,27,1:28.133
8,14,Martin Brundle,McLaren Peugeot,49,1:28.185
15,15,Eddie Irvine,Jordan Hart,19,1:28.312
29,16,Andrea de Cesaris,Sauber Mercedes,20,1:28.411
23,17,Pierluigi Martini,Minardi Ford,19,1:28.473
20,18,Erik Comas,Larrousse Ford,24,1:28.571
12,19,Johnny Herbert,Lotus Mugen Honda,9,1:28.871
24,20,Michele Alboreto,Minardi Ford,12,1:28.956
19,21,Yannick Dalmas,Larrousse Ford,10,1:29.485
31,22,David Brabham,Simtek Ford,12,1:30.036
32,23,Jean-Marc Gounon,Simtek Ford,17,1:30.479
