,Position,Driver,Car,Time
44,1,Lewis Hamilton,Mercedes,1:32.571
5,2,Sebastian Vettel,Ferrari,1:32.982
6,3,Nico Rosberg,Mercedes,1:33.129
7,4,Kimi Räikkönen,Ferrari,1:33.227
77,5,Valtteri Bottas,Williams Mercedes,1:33.381
19,6,Felipe Massa,Williams Mercedes,1:33.744
3,7,Daniel Ricciardo,Red Bull Racing Renault,1:33.832
27,8,Nico Hulkenberg,Force India Mercedes,1:34.450
55,9,Carlos Sainz,STR Renault,1:34.462
8,10,Romain Grosjean,Lotus Mercedes,1:34.484
11,11,Sergio Perez,Force India Mercedes,1:34.704
12,12,Felipe Nasr,Sauber Ferrari,1:34.737
9,13,Marcus Ericsson,Sauber Ferrari,1:35.034
14,14,Fernando Alonso,McLaren Honda,1:35.039
33,15,Max Verstappen,STR Renault,1:35.103
13,16,Pastor Maldonado,Lotus Mercedes,1:35.677
26,17,Daniil Kvyat,Red Bull Racing Renault,1:35.800
28,18,Will Stevens,Marussia Ferrari,1:38.713
98,19,Roberto Merhi,Marussia Ferrari,1:39.722
22,20,Jenson Button,McLaren Honda,
