,Position,Driver,Car,Lap,Time
0,1,Damon Hill,Williams Renault,11,1:27.100
5,2,Michael Schumacher,Benetton Ford,8,1:27.335
2,3,David Coulthard,Williams Renault,7,1:27.889
28,4,Gerhard Berger,Ferrari,18,1:28.603
4,5,Mark Blundell,Tyrrell Yamaha,13,1:28.659
27,6,Jean Alesi,Ferrari,23,1:29.181
14,7,Rubens Barrichello,Jordan Hart,11,1:29.197
7,8,Mika Hakkinen,McLaren Peugeot,24,1:29.406
3,9,Ukyo Katayama,Tyrrell Yamaha,8,1:29.556
30,10,Heinz-Harald Frentzen,Sauber Mercedes,26,1:29.695
6,11,Jos Verstappen,Benetton Ford,8,1:29.876
26,12,Olivier Panis,Ligier Renault,8,1:29.993
10,13,Gianni Morbidelli,Footwork Ford,4,1:30.587
9,14,Christian Fittipaldi,Footwork Ford,26,1:30.683
25,15,Eric Bernard,Ligier Renault,41,1:30.769
24,16,Michele Alboreto,Minardi Ford,17,1:31.136
19,17,Olivier Beretta,Larrousse Ford,22,1:31.253
23,18,Pierluigi Martini,Minardi Ford,7,1:31.481
12,19,Johnny Herbert,Lotus Mugen Honda,8,1:31.711
20,20,Erik Comas,Larrousse Ford,12,1:31.741
29,21,Andrea de Cesaris,Sauber Mercedes,9,1:32.368
31,22,David Brabham,Simtek Ford,15,1:32.986
32,23,Jean-Marc Gounon,Simtek Ford,14,1:33.127
11,24,Alessandro Zanardi,Lotus Mugen Honda,4,1:34.266
