,Position,Driver,Car,Time / Gap
28,1,Gerhard Berger,Ferrari,1:25.943
1,2,Ayrton Senna,McLaren Honda,+0.036s
2,3,Alain Prost,McLaren Honda,+0.192s
27,4,Nigel Mansell,Ferrari,+0.417s
5,5,Thierry Boutsen,Williams Renault,+0.460s
30,6,Philippe Alliot,Lola Lamborghini,+0.806s
6,7,Riccardo Patrese,Williams Renault,+1.017s
19,8,Alessandro Nannini,Benetton Ford,+1.319s
7,9,Martin Brundle,Brabham Judd,+2.162s
23,10,Pierluigi Martini,Minardi Ford,+2.449s
20,11,Emanuele Pirro,Benetton Ford,+2.495s
21,12,Alex Caffi,Dallara Ford,+2.515s
8,13,Stefano Modena,Brabham Judd,+2.545s
26,14,Olivier Grouillard,Ligier Ford,+2.847s
37,15,Bertrand Gachot,Onyx Ford,+2.856s
4,16,Jean Alesi,Tyrrell Ford,+2.888s
22,17,Andrea de Cesaris,Dallara Ford,+2.944s
29,18,Michele Alboreto,Lola Lamborghini,+2.981s
11,19,Nelson Piquet,Lotus Judd,+3.052s
9,20,Derek Warwick,Arrows Ford,+3.091s
10,21,Eddie  Cheever,Arrows Ford,+3.094s
24,22,Luis Perez-Sala,Minardi Ford,+3.401s
17,23,Nicola Larini,Osella Ford,+3.632s
15,24,Mauricio Gugelmin,March Judd,+3.863s
25,25,Rene Arnoux,Ligier Ford,+3.948s
3,26,Jonathan  Palmer,Tyrrell Ford,+4.041s
12,27,Satoru Nakajima,Lotus Judd,+4.127s
16,28,Ivan Capelli,March Judd,+4.568s
39,29,Pierre Henri Raphanel,Rial Ford,+9.732s
38,30,Christian Danner,Rial Ford,+16.943s
