,Position,Driver,Car,Lap,Time
2,1,Alain Prost,McLaren Honda,43,1:28.107
1,2,Ayrton Senna,McLaren Honda,43,1:28.179
5,3,Thierry Boutsen,Williams Renault,43,1:28.245
28,4,Gerhard Berger,Ferrari,43,1:28.712
27,5,Nigel Mansell,Ferrari,33,1:28.820
6,6,Riccardo Patrese,Williams Renault,33,1:28.857
19,7,Alessandro Nannini,Benetton Ford,27,1:29.726
16,8,Ivan Capelli,March Judd,9,1:30.236
7,9,Martin Brundle,Brabham Judd,32,1:30.437
4,10,Jean Alesi,Tyrrell Ford,32,1:30.588
11,11,Nelson Piquet,Lotus Judd,8,1:30.976
21,12,Alex Caffi,Dallara Ford,42,1:31.112
22,13,Andrea de Cesaris,Dallara Ford,38,1:31.138
23,14,Pierluigi Martini,Minardi Ford,37,1:31.468
24,15,Luis Perez-Sala,Minardi Ford,41,1:31.535
26,16,Olivier Grouillard,Ligier Ford,29,1:31.639
12,17,Satoru Nakajima,Lotus Judd,42,1:31.931
9,18,Derek Warwick,Arrows Ford,12,1:32.302
17,19,Nicola Larini,Osella Ford,7,1:32.416
3,20,Jonathan  Palmer,Tyrrell Ford,12,1:32.474
29,21,Michele Alboreto,Lola Lamborghini,13,1:32.548
25,22,Rene Arnoux,Ligier Ford,6,1:32.577
37,23,Bertrand Gachot,Onyx Ford,15,1:32.691
15,24,Mauricio Gugelmin,March Judd,9,1:33.571
30,25,Philippe Alliot,Lola Lamborghini,1,1:44.035
