,Position,Driver,Car,Lap,Time
12,1,Ayrton Senna,Lotus Honda,49,1:26.796
6,2,Nelson Piquet,Williams Honda,49,1:26.858
1,3,Alain Prost,McLaren TAG,37,1:26.882
5,4,Nigel Mansell,Williams Honda,23,1:27.496
2,5,Stefan Johansson,McLaren TAG,42,1:28.468
28,6,Gerhard Berger,Ferrari,27,1:28.519
19,7,Teo Fabi,Benetton Ford,37,1:28.723
20,8,Thierry Boutsen,Benetton Ford,26,1:28.725
27,9,Michele Alboreto,Ferrari,10,1:30.124
8,10,Andrea de Cesaris,Brabham BMW,4,1:31.279
25,11,Rene Arnoux,Ligier Megatron,40,1:31.335
7,12,Riccardo Patrese,Brabham BMW,4,1:31.497
10,13,Christian Danner,Zakspeed,47,1:31.636
11,14,Satoru Nakajima,Lotus Honda,37,1:31.849
26,15,Piercarlo Ghinzani,Ligier Megatron,35,1:32.488
24,16,Alessandro Nannini,Minardi Motori Moderni,40,1:32.588
9,17,Martin Brundle,Zakspeed,24,1:32.663
18,18,Eddie  Cheever,Arrows Megatron,18,1:32.820
17,19,Derek Warwick,Arrows Megatron,7,1:33.180
23,20,Adrian Campos,Minardi Motori Moderni,34,1:33.629
21,21,Alex Caffi,Osella Alfa Romeo,15,1:34.187
4,22,Philippe Streiff,Tyrrell Ford,32,1:34.722
30,23,Philippe Alliot,Lola Ford,36,1:34.912
3,24,Jonathan  Palmer,Tyrrell Ford,37,1:35.154
16,25,Ivan Capelli,March Ford,34,1:35.266
22,26,Franco Forini,Osella Alfa Romeo,26,1:37.964
