,Position,Driver,Car,Time / Gap
5,1,Nigel Mansell,Williams Renault,1:21.963
1,2,Ayrton Senna,McLaren Honda,+0.883s
2,3,Gerhard Berger,McLaren Honda,+1.404s
19,4,Michael Schumacher,Benetton Ford,+1.436s
6,5,Riccardo Patrese,Williams Renault,+1.461s
9,6,Michele Alboreto,Footwork Mugen Honda,+2.074s
4,7,Andrea de Cesaris,Tyrrell Ilmor,+2.332s
16,8,Karl Wendlinger,March Ilmor,+2.368s
27,9,Jean Alesi,Ferrari,+2.421s
32,10,Stefano Modena,Jordan Yamaha,+2.429s
28,11,Ivan Capelli,Ferrari,+2.657s
20,12,Martin Brundle,Benetton Ford,+2.673s
29,13,Bertrand Gachot,Venturi Lamborghini,+2.739s
33,14,Mauricio Gugelmin,Jordan Yamaha,+3.161s
24,15,Gianni Morbidelli,Minardi Lamborghini,+3.193s
10,16,Aguri Suzuki,Footwork Mugen Honda,+3.545s
22,17,Pierluigi Martini,Dallara Ferrari,+3.881s
25,18,Thierry Boutsen,Ligier Renault,+4.040s
21,19,Jyrki Jarvilehto,Dallara Ferrari,+4.348s
12,20,Johnny Herbert,Lotus Ford,+4.365s
11,21,Mika Hakkinen,Lotus Ford,+4.380s
3,22,Olivier Grouillard,Tyrrell Ilmor,+4.425s
26,23,Erik Comas,Ligier Renault,+4.647s
15,24,Gabriele Tarquini,Fondmetal Ford,+4.858s
34,25,Roberto Moreno,Moda Judd,+5.456s
23,26,Christian Fittipaldi,Minardi Lamborghini,+5.659s
8,27,Damon Hill,Brabham Judd,+5.684s
7,28,Eric van de Poele,Brabham Judd,+5.936s
17,29,Paul Belmondo,March Ilmor,+6.266s
14,30,Andrea Chiesa,Fondmetal Ford,+6.944s
