,Position,Driver,Car,Time
6,1,John Surtees,Ferrari,3:38.000
19,2,Jochen Rindt,Cooper Maserati,3:41.200
15,3,Jackie Stewart,BRM,3:41.500
3,4,Jack Brabham,Brabham Climax,3:41.800
7,5,Lorenzo Bandini,Ferrari,3:43.800
20,6,Jo Bonnier,Brabham Climax,3:44.300
16,7,Mike Spence,Lotus BRM,3:45.200
18,8,Richie Ginther,Cooper Maserati,3:45.400
14,9,Graham Hill,BRM,3:45.600
10,10,Jim Clark,Lotus Climax,3:45.800
24,11,Bob Bondurant,BRM,3:50.500
22,12,Guy  Ligier ,Cooper Maserati,3:51.100
4,13,Denny Hulme,Brabham Climax,3:51.400
21,14,Jo Siffert,Cooper Maserati,3:53.800
27,15,Dan Gurney,Eagle Climax,3:57.600
