,Position,Driver,Car,Time
44,1,Lewis Hamilton,Mercedes,1:15.098
6,2,Nico Rosberg,Mercedes,1:15.440
5,3,Sebastian Vettel,Ferrari,1:15.849
3,4,Daniel Ricciardo,Red Bull Racing Renault,1:16.041
26,5,Daniil Kvyat,Red Bull Racing Renault,1:16.182
7,6,Kimi Räikkönen,Ferrari,1:16.427
11,7,Sergio Perez,Force India Mercedes,1:16.808
13,8,Pastor Maldonado,Lotus Mercedes,1:16.946
33,9,Max Verstappen,STR Renault,1:16.957
22,10,Jenson Button,McLaren Honda,1:17.093
27,11,Nico Hulkenberg,Force India Mercedes,1:17.193
19,12,Felipe Massa,Williams Mercedes,1:17.278
14,13,Fernando Alonso,McLaren Honda,1:26.632
12,14,Felipe Nasr,Sauber Ferrari,1:18.101
8,15,Romain Grosjean,Lotus Mercedes,1:17.007
77,16,Valtteri Bottas,Williams Mercedes,1:18.434
9,17,Marcus Ericsson,Sauber Ferrari,1:18.513
28,18,Will Stevens,Marussia Ferrari,1:20.655
98,19,Roberto Merhi,Marussia Ferrari,1:20.904
