,Position,Driver,Car,Lap,Time
5,1,Damon Hill,Williams Renault,67,1:20.093
6,2,Jacques Villeneuve,Williams Renault,38,1:20.507
1,3,Michael Schumacher,Ferrari,41,1:20.912
9,4,Olivier Panis,Ligier Mugen Honda,46,1:21.562
4,5,Gerhard Berger,Benetton Renault,52,1:21.733
15,6,Heinz-Harald Frentzen,Sauber Ford,16,1:21.882
3,7,Jean Alesi,Benetton Renault,5,1:21.932
2,8,Eddie Irvine,Ferrari,19,1:22.099
7,9,Mika Hakkinen,McLaren Mercedes,47,1:22.257
14,10,Johnny Herbert,Sauber Ford,19,1:22.343
8,11,David Coulthard,McLaren Mercedes,19,1:22.760
11,12,Rubens Barrichello,Jordan Peugeot,26,1:23.181
12,13,Martin Brundle,Jordan Peugeot,3,1:23.889
17,14,Jos Verstappen,Footwork Hart,7,1:24.018
16,15,Ricardo Rosset,Footwork Hart,18,1:24.026
18,16,Ukyo Katayama,Tyrrell Yamaha,51,1:24.040
20,17,Pedro Lamy,Minardi Ford,5,1:25.006
21,18,Giovanni Lavaggi,Minardi Ford,10,1:25.626
10,19,Pedro Diniz,Ligier Mugen Honda,1,1:40.435
