,Position,Driver,Car,Lap,Time
5,1,Michael Schumacher,Benetton Ford,5,1:20.881
0,2,Damon Hill,Williams Renault,6,1:21.520
2,3,David Coulthard,Williams Renault,12,1:22.471
28,4,Gerhard Berger,Ferrari,5,1:22.490
8,5,Martin Brundle,McLaren Peugeot,45,1:22.739
6,6,Jos Verstappen,Benetton Ford,45,1:23.021
27,7,Jean Alesi,Ferrari,44,1:23.023
26,8,Olivier Panis,Ligier Renault,5,1:23.466
30,9,Heinz-Harald Frentzen,Sauber Mercedes,7,1:23.509
24,10,Michele Alboreto,Minardi Ford,44,1:23.697
9,11,Christian Fittipaldi,Footwork Ford,63,1:23.909
4,12,Mark Blundell,Tyrrell Yamaha,25,1:23.964
20,13,Erik Comas,Larrousse Ford,43,1:24.012
19,14,Olivier Beretta,Larrousse Ford,21,1:24.130
23,15,Pierluigi Martini,Minardi Ford,28,1:24.146
25,16,Eric Bernard,Ligier Renault,57,1:24.442
7,17,Philippe Alliot,McLaren Peugeot,15,1:24.609
29,18,Andrea de Cesaris,Sauber Mercedes,15,1:24.686
10,19,Gianni Morbidelli,Footwork Ford,17,1:24.704
31,20,David Brabham,Simtek Ford,12,1:25.137
11,21,Alessandro Zanardi,Lotus Mugen Honda,60,1:25.151
12,22,Johnny Herbert,Lotus Mugen Honda,9,1:25.850
32,23,Jean-Marc Gounon,Simtek Ford,5,1:26.616
