,Position,Driver,Car,Time
5,1,Sebastian Vettel,Ferrari,1:10.240
44,2,Lewis Hamilton,Mercedes,1:10.446
16,3,Charles Leclerc,Ferrari,1:10.920
3,4,Daniel Ricciardo,Renault,1:11.071
10,5,Pierre Gasly,Red Bull Racing Honda,1:11.079
77,6,Valtteri Bottas,Mercedes,1:11.101
27,7,Nico Hulkenberg,Renault,1:11.324
4,8,Lando Norris,McLaren Renault,1:11.863
33,9,Max Verstappen,Red Bull Racing Honda,1:11.800
26,10,Daniil Kvyat,Scuderia Toro Rosso Honda,1:11.921
55,11,Carlos Sainz,McLaren Renault,1:13.981
99,12,Antonio Giovinazzi,Alfa Romeo Racing Ferrari,1:12.136
23,13,Alexander Albon,Scuderia Toro Rosso Honda,1:12.193
8,14,Romain Grosjean,Haas Ferrari,
11,15,Sergio Perez,Racing Point BWT Mercedes,1:12.197
7,16,Kimi Räikkönen,Alfa Romeo Racing Ferrari,1:12.230
18,17,Lance Stroll,Racing Point BWT Mercedes,1:12.266
63,18,George Russell,Williams Mercedes,1:13.617
88,19,Robert Kubica,Williams Mercedes,1:14.393
20,20,Kevin Magnussen,Haas Ferrari,
